phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
6442127,http://brown-skin.000webhostapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=6442127,2020-03-10T07:48:56+00:00,yes,2020-03-10T07:50:05+00:00,yes,Other
6442126,http://viral-hot-18x.000webhostapp.com/login.php,http://www.phishtank.com/phish_detail.php?phish_id=6442126,2020-03-10T07:48:05+00:00,yes,2020-03-10T07:49:04+00:00,yes,Facebook
6442125,http://poubfcx.000webhostapp.com/,http://www.phishtank.com/phish_detail.php?phish_id=6442125,2020-03-10T07:46:54+00:00,yes,2020-03-10T07:48:04+00:00,yes,Other
6442124,https://stankbucket.com/wp-admin/update/,http://www.phishtank.com/phish_detail.php?phish_id=6442124,2020-03-10T07:46:20+00:00,yes,2020-03-10T07:47:03+00:00,yes,Other
6442123,https://masoudrahimi.ir/bb/indexfile.php,http://www.phishtank.com/phish_detail.php?phish_id=6442123,2020-03-10T07:46:18+00:00,yes,2020-03-10T07:47:03+00:00,yes,Other
6442122,https://admin.hostpoint.com.c1740596.ferozo.com/ID2145000063/Admin/,http://www.phishtank.com/phish_detail.php?phish_id=6442122,2020-03-10T07:44:39+00:00,yes,2020-03-10T07:47:03+00:00,yes,Other
6442121,https://breathy-blots.000webhostapp.com//mpaweskd.php?code=redirectNjlmZC00NjQxLTlmNTQtZmM5MjIzN00NjQxLTlmNTZmM5MjIzN00N,http://www.phishtank.com/phish_detail.php?phish_id=6442121,2020-03-10T07:44:38+00:00,yes,2020-03-10T07:47:03+00:00,yes,Other
6442120,http://ip-doorphone.ru/includes/verify/index.php,http://www.phishtank.com/phish_detail.php?phish_id=6442120,2020-03-10T07:44:28+00:00,yes,2020-03-10T07:47:03+00:00,yes,Other
6442118,https://yespiper.com/update/update,http://www.phishtank.com/phish_detail.php?phish_id=6442118,2020-03-10T07:44:18+00:00,yes,2020-03-10T07:46:02+00:00,yes,Other
6442110,https://storage.googleapis.com/outlook-web-app-932020.appspot.com/%2525%2525%2525%2525%2525%2525%2525%2525%2525%2525%2525%2525%2525%2525/owa.html#admin@example.com,http://www.phishtank.com/phish_detail.php?phish_id=6442110,2020-03-10T07:39:30+00:00,yes,2020-03-10T07:39:55+00:00,yes,Microsoft
6442108,http://www.customer.paypal.restored.cemaco.vn/Summary/,http://www.phishtank.com/phish_detail.php?phish_id=6442108,2020-03-10T07:37:28+00:00,yes,2020-03-10T07:38:54+00:00,yes,PayPal
6442095,https://etoroag.com/,http://www.phishtank.com/phish_detail.php?phish_id=6442095,2020-03-10T07:20:57+00:00,yes,2020-03-10T07:27:47+00:00,yes,"Bank of America Corporation"
6442089,https://firebasestorage.googleapis.com/v0/b/dgvgdgdgddfd3u3v.appspot.com/o/fddd.html?alt=media&amp;token=4d9eb5f6-d84a-43fa-83cd-0fb1ee0db404,http://www.phishtank.com/phish_detail.php?phish_id=6442089,2020-03-10T06:59:41+00:00,yes,2020-03-10T07:02:22+00:00,yes,Other
6442088,https://yespiper.com/update/update/?email=addieyarbrough@prepaidlegal.com,http://www.phishtank.com/phish_detail.php?phish_id=6442088,2020-03-10T06:53:13+00:00,yes,2020-03-10T06:55:14+00:00,yes,Other
6442087,https://enciokurier.com/oplata23/ipko,http://www.phishtank.com/phish_detail.php?phish_id=6442087,2020-03-10T06:41:37+00:00,yes,2020-03-10T06:45:02+00:00,yes,"PKO Polish Bank"
6442086,https://enciokurier.com/oplata23/banks,http://www.phishtank.com/phish_detail.php?phish_id=6442086,2020-03-10T06:41:25+00:00,yes,2020-03-10T06:43:59+00:00,yes,"PKO Polish Bank"
6442085,https://enciokurier.com/oplata23/,http://www.phishtank.com/phish_detail.php?phish_id=6442085,2020-03-10T06:41:18+00:00,yes,2020-03-10T06:43:59+00:00,yes,"PKO Polish Bank"
6442084,https://enciokurier.com/oplata23,http://www.phishtank.com/phish_detail.php?phish_id=6442084,2020-03-10T06:41:17+00:00,yes,2020-03-10T06:43:59+00:00,yes,"PKO Polish Bank"
6442080,https://yespiper.com/update/update/?email=USER@DOMAIN.com,http://www.phishtank.com/phish_detail.php?phish_id=6442080,2020-03-10T06:13:51+00:00,yes,2020-03-10T06:15:25+00:00,yes,Other
6442079,https://storage.googleapis.com/outlook-web-app-932020.appspot.com/%2525%2525%2525%2525%2525%2525%2525%2525%2525%2525%2525%2525%2525%2525/owa.html#USER@DOMAIN.ch,http://www.phishtank.com/phish_detail.php?phish_id=6442079,2020-03-10T06:09:30+00:00,yes,2020-03-10T06:11:21+00:00,yes,Other
6442070,https://storage.googleapis.com/outlook-web-app-932020.appspot.com/%2525%2525%2525%2525%2525%2525%2525%2525%2525%2525%2525%2525%2525%2525/owa.html#test@test.com,http://www.phishtank.com/phish_detail.php?phish_id=6442070,2020-03-10T05:12:51+00:00,yes,2020-03-10T05:15:14+00:00,yes,Microsoft
6442067,https://www.zoisfashion.gr/wp-includes/fonts/537de305e941fccdbba5627e3eefbb24,http://www.phishtank.com/phish_detail.php?phish_id=6442067,2020-03-10T05:00:35+00:00,yes,2020-03-10T05:01:58+00:00,yes,Other
